feature,importance
NHOHCount,0.11547151333879062
BCUT2D_MWLOW,0.09444555366126939
BCUT2D_MRLOW,0.07555201518468968
NumSaturatedHeterocycles,0.053396799196383134
PEOE_VSA7,0.040559768136576795
fr_C_O,0.03511930432578865
MinPartialCharge,0.029876704503747867
qed,0.028255061728112218
fr_allylic_oxid,0.025692138160926612
VSA_EState7,0.025442904418494495
SPS,0.02315017393085509
MolLogP,0.022924671871800632
EState_VSA8,0.019800256477529702
VSA_EState8,0.018723030203160605
EState_VSA3,0.017285592742484826
VSA_EState5,0.016998452176591444
EState_VSA5,0.016484536052919482
EState_VSA4,0.014215781151010859
BalabanJ,0.013164248281601839
PEOE_VSA6,0.0127772454197316
EState_VSA7,0.0127574214779038
VSA_EState1,0.01253216702923466
Kappa3,0.011769805174362045
BCUT2D_LOGPHI,0.010982742306272449
VSA_EState4,0.010242101161624021
BCUT2D_CHGLO,0.010069094090357455
fr_NH2,0.010067718341499677
fr_sulfide,0.008898595195605949
TPSA,0.008680253974403947
PEOE_VSA8,0.008437790794731986
