feature,importance
VSA_EState8,0.026399198206463997
BCUT2D_MRLOW,0.026102402566284537
BCUT2D_MWLOW,0.020844027037325644
VSA_EState4,0.01821852516847343
SlogP_VSA5,0.017937871885385395
BCUT2D_LOGPHI,0.016488459881828163
PEOE_VSA9,0.016446788261689813
MaxAbsPartialCharge,0.015544859569757779
EState_VSA8,0.015070712356530718
MinPartialCharge,0.014991913682140787
Kappa3,0.014870532157381511
SPS,0.014607908816556048
MolLogP,0.01454363647870352
BCUT2D_MRHI,0.014508900579938767
VSA_EState5,0.014484536644221105
MaxPartialCharge,0.014469834093732243
FpDensityMorgan3,0.01433519301585191
BCUT2D_CHGHI,0.014050914048459472
BalabanJ,0.013668039377450682
BertzCT,0.013641382072258986
BCUT2D_CHGLO,0.013519951263955889
PEOE_VSA7,0.01317936294384461
PEOE_VSA6,0.013157499455311769
SMR_VSA5,0.013133973467683054
VSA_EState7,0.012931713590937914
EState_VSA4,0.012710717364752879
BCUT2D_LOGPLOW,0.012704045345462064
VSA_EState1,0.012471634657970474
Chi2n,0.012396139572243838
MinEStateIndex,0.012303633527205201
