feature,importance
NumAliphaticHeterocycles,0.018103052
BCUT2D_CHGLO,0.017356917
fr_ketone,0.016108928
NumSaturatedHeterocycles,0.01598972
VSA_EState8,0.015966544
SMR_VSA7,0.015676714
fr_allylic_oxid,0.014724332
NHOHCount,0.014288271
FractionCSP3,0.0142625915
RingCount,0.013386955
VSA_EState4,0.012922424
NumRotatableBonds,0.012831473
fr_Imine,0.012822239
NumAliphaticCarbocycles,0.012741119
fr_quatN,0.012570691
EState_VSA8,0.01081825
fr_hdrzone,0.01058858
fr_C_O,0.010282791
PEOE_VSA5,0.0101750335
fr_Ar_OH,0.009841997
HallKierAlpha,0.009681501
NumAromaticCarbocycles,0.009640964
SMR_VSA5,0.0094695315
EState_VSA4,0.009380435
BCUT2D_MRLOW,0.009106162
BertzCT,0.009069418
fr_NH1,0.008981632
EState_VSA2,0.008764757
fr_Ar_N,0.00864249
EState_VSA7,0.008470522
