feature,importance
BCUT2D_MWLOW,0.034549901705016484
Kappa3,0.02657591366994952
NHOHCount,0.02548518560908229
PEOE_VSA7,0.024352849983199202
MolLogP,0.023001649608871917
VSA_EState6,0.019578659228266848
BCUT2D_CHGLO,0.01898231411885223
VSA_EState8,0.018187907794693422
PEOE_VSA6,0.017663208056514067
MolWt,0.016944372792717165
BalabanJ,0.016116344921686364
BCUT2D_LOGPHI,0.0155585048398382
SPS,0.015328516815221516
VSA_EState4,0.0153216401903509
Ipc,0.01502937506235207
BCUT2D_LOGPLOW,0.01464476292065368
BCUT2D_MRLOW,0.01426066831524246
BCUT2D_CHGHI,0.013886017776334593
VSA_EState5,0.013710120678167756
VSA_EState2,0.012503912235411483
fr_allylic_oxid,0.012487844770334757
AvgIpc,0.012335403964367058
EState_VSA2,0.012289305103714275
EState_VSA8,0.01224342616804443
MinPartialCharge,0.012219289461815275
BCUT2D_MRHI,0.012199186229694452
VSA_EState3,0.01216836428592813
TPSA,0.01214074560626357
FpDensityMorgan1,0.011980086993959681
MaxAbsPartialCharge,0.011898228980174088
