feature,importance
NumAliphaticHeterocycles,0.054061506
fr_NH2,0.0409758
NHOHCount,0.03600168
NumAliphaticCarbocycles,0.031424925
fr_NH1,0.031278897
NumSaturatedHeterocycles,0.029638747
NumAliphaticRings,0.023125548
fr_C_O,0.019496262
NumAromaticRings,0.017307293
VSA_EState8,0.01663327
BCUT2D_MRLOW,0.016355371
fr_amide,0.015797962
fr_Ar_OH,0.012372702
NOCount,0.012210509
fr_NH0,0.012133016
SMR_VSA5,0.011798163
SMR_VSA7,0.0113237
PEOE_VSA7,0.010271077
EState_VSA2,0.010260702
SlogP_VSA8,0.010164472
VSA_EState6,0.010057145
PEOE_VSA9,0.010038443
fr_bicyclic,0.0097515825
MolLogP,0.009650779
PEOE_VSA1,0.009525932
NumAromaticHeterocycles,0.009345855
SMR_VSA10,0.009273746
EState_VSA10,0.009247493
Kappa3,0.009068622
BCUT2D_LOGPHI,0.008703334
