feature,importance
MinEStateIndex,0.02082290144944522
BCUT2D_MRLOW,0.018497144968069423
FractionCSP3,0.018187749339893276
VSA_EState4,0.018091585891793816
MaxAbsEStateIndex,0.017290720748227725
BCUT2D_LOGPLOW,0.017282570710384998
BCUT2D_MWLOW,0.01679490036866398
BCUT2D_LOGPHI,0.015976732499286384
VSA_EState8,0.015642092286827263
BCUT2D_CHGLO,0.015376949055257789
MinPartialCharge,0.01529246443700631
qed,0.015263040117243987
VSA_EState5,0.014953680627934814
MinAbsEStateIndex,0.014947584059812858
BertzCT,0.014879544504504912
BCUT2D_MRHI,0.014479265409265902
MolWt,0.0142869492519054
HallKierAlpha,0.014206536667297594
BCUT2D_CHGHI,0.014198073226712144
VSA_EState7,0.014052485992753229
MaxPartialCharge,0.01400880220022629
BCUT2D_MWHI,0.013689492014888609
SPS,0.013622452232088517
FpDensityMorgan1,0.013374642424329349
BalabanJ,0.013315825073212566
Chi2n,0.01324114060431167
MolLogP,0.01317674536374529
VSA_EState2,0.012967225115519478
FpDensityMorgan2,0.012908347557262433
SlogP_VSA5,0.012845642917791732
